timestamp,x_coord,y_coord,confidence
1510881411060,348.586,403.411,2.60548
1510881411090,235.74,393.269,1.069
1510881411156,332.719,401.742,0.826565
1510881411189,323.444,403.646,0.627746
1510881411253,395.889,407.246,0.439846
1510881411285,293.531,402.642,0.741245
1510881411330,203.53,395.027,0.840456
1510881411395,127.921,370.27,2.42009
1510881411492,63.1744,317.057,3.08061
1510881411753,1418.41,425.519,2.78673
1510881411786,1542.55,473.134,4.83074
1510881411862,1579.07,456.302,3.14014
1510881411893,1450.68,460.497,1.61987
1510881411959,1493.01,474.734,0.976624
1510881411992,1019.24,442.569,1.31499
1510881412059,629.23,396.916,1.54321
1510881412089,435.408,360.684,2.89675
1510881412167,253.179,340.182,1.79508
1510881412187,175.052,350.987,1.13502
1510881412253,109.272,366.104,0.728689
1510881412285,87.4708,372.714,0.822692
1510881412361,51.469,350.557,2.6186
1510881412393,40.649,361.378,1.25664
1510881412457,98.3946,377.512,0.73781
1510881412488,224.931,391.013,0.77644
1510881412564,132.557,377.792,1.38854
1510881412585,92.1523,360.226,2.20124
1510881412658,55.0203,336.082,2.49596
1510881412691,37.3258,346.805,1.08317
1510881412754,23.3692,329.282,2.66578
1510881412787,16.1722,293.217,4.55973
1510881412852,10.099,303.555,2.52662
1510881412884,48.8212,338.92,0.650943
1510881412961,55.505,363.578,0.748167
1510881412992,37.5629,372.809,0.777792
1510881413058,23.7347,376.293,1.06223
1510881413090,27.8003,378.294,1.26045
1510881413154,17.4975,363.77,1.87866
1510881413185,12.1735,354.769,1.67872
1510881413262,7.13831,326.103,2.77225
1510881413294,4.82202,337.969,1.59047
1510881413357,3.01355,333.228,2.73509
1510881413390,2.08384,336.921,1.97728
1510881413455,1.30816,342.901,1.85451
1510881413487,0.906336,325.112,3.82493
1510881566408,354.826,387.759,0.595163
1510881566438,324.706,393.184,0.826351
1510881566504,363.458,403.214,1.1559
1510881566536,314.513,410.382,1.53683
1510881566600,224.961,419.965,1.86654
1510881566632,155.335,402.381,0.80075
1510881566707,440.815,411.28,2.30416
1510881566738,359.177,404.612,0.58668
1510881566803,222.384,388.824,0.71353
1510881566835,192.574,388.546,0.609419
